"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Shopping list","Add a recipe though input field ""Add recipe...""","0","0","1","0","0"
"","Shopping list","Add a recipe through settings button","0","0","1","0","0"
